Line#,Date,Final,"Scaled Voltage (S-FS-TRMSA 21329018:20536129-1),VAC,GC-15kW","Scaled Current (S-FS-TRMSA 21329018:20536129-2),A,GC-15kW","Scaled Series (RAW-C-20 21329018:21433559-1),l/m,GC-15kW,Flow Meter","Temperature (S-TMB 21329018:20466913-1),°C,GC-15kW,Temp in 1","Temperature (S-TMB 21329018:20466914-1),°C,GC-15kW,Temp in 2","Temperature (S-TMB 21329018:20466915-1),°C,GC-15kW,Temp out 1","Temperature (S-TMB 21329018:20590610-1),°C,GC-15kW,Temp out 2"
310,11/25/25 10:18:00 -0500,11/25/25 10:18:00,243.843,65.237,45.54,12.61,12.61,17.03,16.89
311,11/25/25 10:20:00 -0500,11/25/25 10:20:00,243.562,65.252,43.724,12.17,12.17,17.2,17.03
312,11/25/25 10:22:00 -0500,11/25/25 10:22:00,243.303,65.2,45.003,11.52,11.49,16.53,16.39
313,11/25/25 10:24:00 -0500,11/25/25 10:24:00,243.195,65.181,44.28,11.08,11.05,16.06,15.91
314,11/25/25 10:26:00 -0500,11/25/25 10:26:00,243.81,65.214,41.917,11.35,11.32,16.34,16.22
315,11/25/25 10:28:00 -0500,11/25/25 10:28:00,244.102,65.191,42.601,11.13,11.13,16.13,15.99
316,11/25/25 10:30:00 -0500,11/25/25 10:30:00,244.123,65.2,44.085,11.32,11.32,16.22,16.11
317,11/25/25 10:32:00 -0500,11/25/25 10:32:00,243.918,65.176,44.72,12.56,12.56,17.15,17.03
318,11/25/25 10:34:00 -0500,11/25/25 10:34:00,245.807,65.167,45.462,13.14,13.14,17.91,17.8
319,11/25/25 10:36:00 -0500,11/25/25 10:36:00,240.346,65.158,43.772,13.28,13.26,18.1,17.94
320,11/25/25 10:38:00 -0500,11/25/25 10:38:00,245.71,65.13,44.524,13.28,13.26,18.15,18.03
321,11/25/25 10:40:00 -0500,11/25/25 10:40:00,244.879,65.153,46.478,13.4,13.38,18.3,18.18
322,11/25/25 10:42:00 -0500,11/25/25 10:42:00,245.375,65.144,47.64,13.45,13.43,18.39,18.27
323,11/25/25 10:44:00 -0500,11/25/25 10:44:00,245.472,65.134,48.362,13.52,13.52,18.44,18.32
324,11/25/25 10:46:00 -0500,11/25/25 10:46:00,242.623,65.12,47.23,13.76,13.76,18.58,18.46
325,11/25/25 10:48:00 -0500,11/25/25 10:48:00,240.249,65.12,46.429,14.1,14.07,18.87,18.75
326,11/25/25 10:50:00 -0500,11/25/25 10:50:00,244.166,65.796,45.413,14.29,14.27,19.08,18.96
327,11/25/25 10:52:00 -0500,11/25/25 10:52:00,244.469,65.101,46.009,14.41,14.39,19.27,19.13
328,11/25/25 10:54:00 -0500,11/25/25 10:54:00,244.684,65.139,43.118,14.53,14.51,19.39,19.27
329,11/25/25 10:56:00 -0500,11/25/25 10:56:00,253.156,64.773,42.005,14.62,14.6,19.53,19.44
330,11/25/25 10:58:00 -0500,11/25/25 10:58:00,245.451,65.106,44.163,14.72,14.7,19.63,19.51
331,11/25/25 11:00:00 -0500,11/25/25 11:00:00,246.033,65.101,42.767,14.82,14.79,19.65,19.53
332,11/25/25 11:02:00 -0500,11/25/25 11:02:00,246.109,65.111,44.935,14.96,14.94,19.77,19.65
333,11/25/25 11:04:00 -0500,11/25/25 11:04:00,246.26,65.092,44.876,15.08,15.06,19.86,19.77
334,11/25/25 11:06:00 -0500,11/25/25 11:06:00,242.936,65.083,43.538,15.2,15.17,20.06,19.94
335,11/25/25 11:08:00 -0500,11/25/25 11:08:00,246.551,65.101,42.044,15.29,15.29,20.2,20.08
336,11/25/25 11:10:00 -0500,11/25/25 11:10:00,245.742,65.106,41.243,15.39,15.39,20.34,20.22
337,11/25/25 11:12:00 -0500,11/25/25 11:12:00,244.846,65.087,44.866,15.49,15.49,20.39,20.27
338,11/25/25 11:14:00 -0500,11/25/25 11:14:00,245.494,65.083,43.938,15.56,15.56,20.41,20.32
339,11/25/25 11:16:00 -0500,11/25/25 11:16:00,245.235,65.087,43.216,15.65,15.63,20.46,20.34
340,11/25/25 11:18:00 -0500,11/25/25 11:18:00,240.152,65.087,45.149,15.72,15.72,20.56,20.44
341,11/25/25 11:20:00 -0500,11/25/25 11:20:00,240.108,65.111,45.13,15.82,15.82,20.7,20.6
342,11/25/25 11:22:00 -0500,11/25/25 11:22:00,240.108,65.115,43.577,15.91,15.89,20.82,20.7
343,11/25/25 11:24:00 -0500,11/25/25 11:24:00,240.098,65.092,46.956,16.01,15.96,20.91,20.82
344,11/25/25 11:26:00 -0500,11/25/25 11:26:00,240.13,65.097,47.503,16.08,16.06,20.96,20.84
345,11/25/25 11:28:00 -0500,11/25/25 11:28:00,244.339,65.083,45.071,16.13,16.11,20.96,20.86
346,11/25/25 11:30:00 -0500,11/25/25 11:30:00,240.087,65.092,46.341,16.2,16.18,21.01,20.91
347,11/25/25 11:32:00 -0500,11/25/25 11:32:00,240.119,65.078,45.354,16.27,16.25,21.08,20.98
348,11/25/25 11:34:00 -0500,11/25/25 11:34:00,240.108,65.111,43.128,16.34,16.32,21.22,21.13
349,11/25/25 11:36:00 -0500,11/25/25 11:36:00,240.065,65.097,43.206,16.42,16.39,21.32,21.22
350,11/25/25 11:38:00 -0500,11/25/25 11:38:00,244.544,65.073,42.659,16.49,16.46,21.39,21.27
351,11/25/25 11:40:00 -0500,11/25/25 11:40:00,240.076,65.078,47.122,16.56,16.51,21.39,21.29
352,11/25/25 11:42:00 -0500,11/25/25 11:42:00,240.001,65.078,47.991,16.61,16.58,21.44,21.34
353,11/25/25 11:44:00 -0500,11/25/25 11:44:00,239.99,65.078,47.454,16.65,16.63,21.46,21.37
354,11/25/25 11:46:00 -0500,11/25/25 11:46:00,239.99,65.059,47.737,16.7,16.68,21.53,21.44
355,11/25/25 11:48:00 -0500,11/25/25 11:48:00,244.35,65.083,45.423,16.77,16.75,21.65,21.56
356,11/25/25 11:50:00 -0500,11/25/25 11:50:00,240.065,65.069,43.079,16.84,16.8,21.75,21.63
357,11/25/25 11:52:00 -0500,11/25/25 11:52:00,240.044,65.069,43.665,16.89,16.87,21.82,21.7
358,11/25/25 11:54:00 -0500,11/25/25 11:54:00,240.065,65.064,43.401,16.94,16.92,21.8,21.68
359,11/25/25 11:56:00 -0500,11/25/25 11:56:00,240.054,65.078,46.146,16.99,16.96,21.82,21.7
360,11/25/25 11:58:00 -0500,11/25/25 11:58:00,244.49,65.064,47.581,17.03,17.01,21.82,21.72
361,11/25/25 12:00:00 -0500,11/25/25 12:00:00,240.001,65.036,47.054,17.08,17.06,21.91,21.82
362,11/25/25 12:02:00 -0500,11/25/25 12:02:00,239.979,65.083,45.638,17.13,17.11,22.03,21.94
